antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'item_C_Phones'}),"frozenset({'item_E_Phones', 'item_D_Phones', 'item_A_Phones'})",0.1330749354005168,0.0103359173126615,0.0103359173126615,0.07766990291262137,7.514563106796117,0.008960465783973987,1.0730042159662723,1.0
"frozenset({'item_C_Chairs', 'item_B_Chairs', 'item_D_Chairs'})",frozenset({'item_E_Chairs'}),0.03617571059431524,0.0103359173126615,0.0103359173126615,0.28571428571428575,27.642857142857146,0.009962008159231884,1.3855297157622741,1.0
"frozenset({'item_C_Chairs', 'item_B_Chairs', 'item_E_Chairs'})",frozenset({'item_D_Chairs'}),0.0103359173126615,0.03617571059431524,0.0103359173126615,1.0,27.642857142857146,0.009962008159231884,inf,0.9738903394255874
"frozenset({'item_C_Chairs', 'item_D_Chairs', 'item_E_Chairs'})",frozenset({'item_B_Chairs'}),0.0103359173126615,0.14599483204134367,0.0103359173126615,1.0,6.849557522123893,0.008826926800606268,inf,0.8629242819843342
"frozenset({'item_B_Chairs', 'item_D_Chairs', 'item_E_Chairs'})",frozenset({'item_C_Chairs'}),0.0103359173126615,0.07881136950904392,0.0103359173126615,1.0,12.688524590163935,0.00952132951411841,inf,0.9308093994778068
"frozenset({'item_C_Chairs', 'item_B_Chairs'})","frozenset({'item_D_Chairs', 'item_E_Chairs'})",0.07881136950904392,0.0103359173126615,0.0103359173126615,0.13114754098360656,12.688524590163935,0.00952132951411841,1.1390473404514652,1.0
"frozenset({'item_C_Chairs', 'item_D_Chairs'})","frozenset({'item_B_Chairs', 'item_E_Chairs'})",0.03617571059431524,0.0103359173126615,0.0103359173126615,0.28571428571428575,27.642857142857146,0.009962008159231884,1.3855297157622741,1.0
"frozenset({'item_C_Chairs', 'item_E_Chairs'})","frozenset({'item_B_Chairs', 'item_D_Chairs'})",0.0103359173126615,0.03617571059431524,0.0103359173126615,1.0,27.642857142857146,0.009962008159231884,inf,0.9738903394255874
"frozenset({'item_B_Chairs', 'item_D_Chairs'})","frozenset({'item_C_Chairs', 'item_E_Chairs'})",0.03617571059431524,0.0103359173126615,0.0103359173126615,0.28571428571428575,27.642857142857146,0.009962008159231884,1.3855297157622741,1.0
"frozenset({'item_B_Chairs', 'item_E_Chairs'})","frozenset({'item_C_Chairs', 'item_D_Chairs'})",0.0103359173126615,0.03617571059431524,0.0103359173126615,1.0,27.642857142857146,0.009962008159231884,inf,0.9738903394255874
